capture_ms,ready_ms,lane,kind,y,score
70715,70761,1,LEFT,0.47644230769230766,0.967741935483871
70748,70794,1,LEFT,0.4971153846153846,0.965
70781,70828,1,LEFT,0.5173076923076924,0.9701492537313433
70815,70862,1,LEFT,0.5389423076923077,0.9391727493917275
70848,70897,1,LEFT,0.5596153846153846,0.9651741293532339
70898,70931,1,LEFT,0.5927884615384615,0.9696969696969697
70931,70964,1,LEFT,0.6153846153846154,0.9672544080604534
70965,71000,1,LEFT,0.6384615384615384,0.9722921914357683
70998,71034,1,LEFT,0.6615384615384615,0.9644670050761421
71031,71069,1,LEFT,0.6855769230769231,0.9695431472081218
