video_ms,capture_ms,ready_ms,file
69501,69500,69512,069501.gray
69517,69516,69526,069517.gray
69533,69532,69541,069533.gray
69550,69549,69559,069550.gray
69566,69565,69575,069566.gray
69583,69582,69592,069583.gray
69600,69599,69608,069600.gray
69617,69616,69623,069617.gray
69633,69632,69639,069633.gray
69650,69649,69656,069650.gray
69666,69665,69672,069666.gray
69683,69682,69692,069683.gray
69700,69699,69707,069700.gray
69717,69716,69724,069717.gray
69733,69732,69739,069733.gray
69750,69749,69758,069750.gray
69766,69765,69775,069766.gray
69783,69782,69791,069783.gray
69800,69799,69806,069800.gray
69817,69816,69825,069817.gray
69833,69832,69840,069833.gray
69849,69848,69853,069849.gray
69866,69865,69871,069866.gray
69883,69882,69888,069883.gray
69900,69899,69905,069900.gray
69917,69916,69926,069917.gray
69933,69932,69941,069933.gray
69950,69949,69961,069950.gray
69967,69966,69977,069967.gray
69983,69982,69991,069983.gray
69999,69998,70010,069999.gray
70016,70015,70026,070016.gray
70033,70032,70041,070033.gray
70050,70049,70061,070050.gray
70067,70066,70077,070067.gray
70083,70082,70092,070083.gray
70100,70099,70109,070100.gray
70117,70116,70123,070117.gray
70133,70132,70143,070133.gray
70149,70149,70156,070149.gray
70168,70167,70177,070168.gray
70200,70199,70212,070200.gray
70217,70216,70226,070217.gray
70233,70232,70244,070233.gray
70250,70249,70262,070250.gray
70267,70266,70276,070267.gray
70283,70282,70291,070283.gray
70300,70299,70311,070300.gray
70316,70315,70324,070316.gray
70333,70332,70341,070333.gray
70350,70349,70360,070350.gray
70366,70365,70375,070366.gray
70383,70382,70391,070383.gray
70400,70399,70411,070400.gray
70416,70415,70426,070416.gray
70434,70433,70444,070434.gray
70450,70449,70459,070450.gray
70466,70465,70475,070466.gray
70483,70482,70494,070483.gray
70499,70498,70507,070499.gray
70516,70515,70528,070516.gray
70533,70532,70540,070533.gray
70550,70549,70562,070550.gray
70566,70566,70570,070566.gray
70583,70582,70590,070583.gray
70600,70599,70609,070600.gray
70616,70615,70625,070616.gray
70633,70632,70644,070633.gray
70650,70649,70660,070650.gray
70666,70665,70677,070666.gray
70683,70682,70695,070683.gray
70699,70699,70709,070699.gray
70716,70715,70726,070716.gray
70733,70732,70744,070733.gray
70750,70749,70760,070750.gray
70766,70765,70777,070766.gray
70783,70782,70796,070783.gray
70800,70799,70807,070800.gray
70816,70815,70824,070816.gray
70834,70833,70843,070834.gray
70851,70850,70858,070851.gray
70883,70882,70894,070883.gray
70900,70899,70907,070900.gray
70917,70916,70926,070917.gray
70933,70932,70941,070933.gray
70950,70949,70959,070950.gray
70967,70966,70975,070967.gray
70984,70983,70993,070984.gray
71000,70999,71009,071000.gray
71016,71015,71024,071016.gray
71033,71032,71043,071033.gray
71050,71049,71058,071050.gray
71067,71066,71076,071067.gray
71083,71082,71091,071083.gray
71100,71099,71108,071100.gray
71117,71116,71126,071117.gray
71134,71133,71142,071134.gray
71150,71149,71162,071150.gray
71167,71166,71178,071167.gray
71183,71182,71193,071183.gray
71200,71199,71211,071200.gray
71217,71216,71226,071217.gray
71233,71232,71242,071233.gray
71250,71249,71258,071250.gray
71266,71265,71280,071266.gray
71283,71282,71291,071283.gray
71300,71299,71315,071300.gray
71317,71316,71326,071317.gray
71333,71332,71342,071333.gray
71350,71349,71357,071350.gray
71367,71366,71378,071367.gray
71384,71383,71394,071384.gray
71400,71399,71409,071400.gray
71416,71415,71427,071416.gray
71433,71432,71443,071433.gray
71450,71449,71459,071450.gray
71467,71466,71477,071467.gray
71484,71483,71493,071484.gray
71500,71499,71509,071500.gray
71517,71516,71524,071517.gray
71533,71532,71537,071533.gray
71550,71549,71558,071550.gray
71567,71566,71573,071567.gray
71583,71582,71590,071583.gray
71600,71599,71606,071600.gray
71617,71616,71623,071617.gray
71633,71632,71640,071633.gray
71650,71649,71657,071650.gray
71667,71666,71674,071667.gray
71684,71683,71691,071684.gray
71700,71699,71707,071700.gray
71717,71716,71724,071717.gray
71734,71733,71741,071734.gray
71750,71750,71750,071750.gray
71768,71768,71768,071768.gray
71784,71783,71784,071784.gray
71800,71800,71800,071800.gray
71817,71817,71817,071817.gray
71833,71833,71833,071833.gray
71850,71850,71850,071850.gray
71867,71867,71867,071867.gray
71884,71884,71884,071884.gray
71900,71900,71900,071900.gray
71917,71917,71917,071917.gray
71934,71933,71934,071934.gray
71950,71950,71950,071950.gray
71968,71968,71968,071968.gray
71984,71984,71984,071984.gray
72001,72000,72001,072001.gray
72017,72017,72017,072017.gray
72034,72034,72034,072034.gray
72050,72050,72050,072050.gray
72067,72066,72067,072067.gray
72084,72083,72084,072084.gray
72100,72100,72100,072100.gray
72134,72134,72134,072134.gray
72151,72151,72151,072151.gray
72167,72167,72167,072167.gray
72184,72183,72184,072184.gray
72200,72200,72200,072200.gray
72217,72217,72217,072217.gray
72233,72233,72233,072233.gray
72250,72250,72250,072250.gray
72267,72267,72267,072267.gray
72284,72284,72284,072284.gray
