frame_ms,ready_ms,pair_visible,gameplay
0,1,false,false
8,9,false,false
16,17,false,false
25,26,false,false
33,34,false,false
41,43,false,false
50,52,false,false
59,61,false,false
67,70,false,false
75,78,false,false
84,85,false,false
92,95,false,false
100,103,false,false
109,111,false,false
117,120,false,false
125,128,false,false
134,137,false,false
142,144,false,false
150,152,false,false
158,161,false,false
167,169,false,false
175,177,false,false
184,185,false,false
191,193,false,false
200,202,false,false
208,210,false,false
216,218,false,false
225,226,false,false
233,235,false,false
242,244,false,false
250,252,false,false
258,260,false,false
275,278,false,false
292,294,false,false
308,310,false,false
325,328,false,false
342,345,false,false
358,361,false,false
375,378,false,false
392,395,false,false
409,411,false,false
428,430,false,false
442,444,false,false
458,461,false,false
475,478,false,false
492,494,false,false
508,510,false,false
525,526,false,false
541,542,false,false
558,559,false,false
575,577,false,false
592,595,false,false
609,611,false,false
625,628,false,false
634,636,false,false
642,644,false,false
659,661,false,false
675,678,false,false
692,695,false,false
708,711,false,false
726,728,false,false
734,736,false,false
742,745,false,false
758,761,false,false
775,778,false,false
792,795,false,false
809,812,false,false
825,827,false,false
834,835,false,false
842,845,false,false
858,861,false,false
875,878,false,false
892,895,false,false
908,911,false,false
925,928,false,false
942,944,false,false
959,961,false,false
975,978,false,false
992,995,false,false
1008,1011,false,false
1025,1028,false,false
1044,1046,false,false
1059,1061,false,false
1075,1078,false,false
1092,1094,false,false
1108,1110,false,false
1125,1128,false,false
1142,1145,false,false
1151,1153,false,false
1158,1161,false,false
1175,1177,false,false
1192,1194,false,false
1209,1211,false,false
1225,1228,false,false
1242,1244,false,false
1250,1251,false,false
1258,1260,false,false
1275,1278,false,false
1292,1295,false,false
1308,1311,false,false
1325,1328,false,false
1342,1344,false,false
1351,1353,false,false
1359,1362,false,false
1375,1378,false,false
1392,1394,false,false
1409,1411,false,false
1425,1428,false,false
1442,1444,false,false
1459,1461,false,false
1475,1478,false,false
1492,1494,false,false
1508,1511,false,false
1525,1527,false,false
1542,1544,false,false
1558,1561,false,false
1575,1578,false,false
1592,1594,false,false
1609,1611,false,false
1625,1628,false,false
1642,1645,false,false
1659,1661,false,false
1667,1669,false,false
1675,1677,false,false
1692,1694,false,false
1708,1711,false,false
1725,1727,false,false
1741,1743,false,false
1759,1761,false,false
1767,1768,false,false
1775,1777,false,false
1792,1798,false,false
1808,1814,false,false
1825,1830,false,false
1841,1847,false,false
1858,1863,false,false
1867,1870,false,false
1875,1878,false,false
1891,1897,false,false
1908,1913,false,false
1925,1932,false,false
1941,1950,true,false
1958,1966,true,false
1975,1983,true,false
1992,2000,true,false
2008,2017,true,false
2026,2034,true,false
2041,2048,true,false
2058,2067,true,false
2075,2083,true,false
2092,2100,true,false
2108,2116,true,false
2125,2133,true,false
2142,2149,true,false
2158,2164,false,false
2175,2182,false,false
2192,2196,false,false
2209,2215,false,false
2225,2234,true,false
2242,2249,true,false
2258,2266,true,false
2275,2282,true,false
2285,2292,true,false
2292,2298,true,false
2308,2314,true,false
2325,2336,true,false
2342,2350,true,false
2359,2368,true,false
2375,2382,true,false
2384,2392,true,false
2392,2397,true,false
2408,2413,true,false
2425,2437,true,false
2441,2448,true,false
2458,2467,true,false
2475,2483,true,false
2486,2493,true,false
2493,2499,true,false
2508,2515,true,false
2525,2536,true,false
2542,2550,true,false
2558,2567,true,false
2575,2583,true,false
2592,2601,true,false
2609,2617,true,false
2625,2633,true,false
2641,2649,true,false
2658,2668,true,false
2675,2683,true,false
2692,2699,true,false
2708,2717,true,false
2725,2734,true,false
2741,2751,true,false
2758,2768,true,false
2775,2782,true,false
2792,2801,true,false
2809,2817,true,false
2825,2832,true,false
2842,2851,true,false
2858,2866,true,false
2875,2884,true,false
2892,2900,true,false
2902,2909,true,false
2909,2914,true,false
2924,2932,true,false
2942,2952,true,false
2959,2964,true,false
2975,2979,true,false
2992,2996,true,false
3009,3013,true,false
3026,3035,true,false
3042,3049,true,false
3059,3068,true,false
3075,3083,true,false
3091,3100,true,false
3108,3116,true,false
3125,3133,true,false
3141,3151,true,false
3158,3166,true,false
3176,3185,true,false
3192,3200,true,false
3209,3218,true,false
3225,3234,true,false
3242,3250,true,false
3258,3266,true,false
3275,3283,true,false
3292,3301,true,false
3309,3318,true,false
3325,3334,true,false
3341,3351,true,false
3358,3367,true,false
3375,3384,true,false
3392,3400,true,false
3408,3415,true,false
3425,3433,true,false
3442,3450,true,false
3458,3467,true,false
3475,3484,true,false
3492,3499,true,false
3508,3516,true,false
3526,3535,true,false
3541,3548,true,false
3558,3567,true,false
3574,3582,true,false
3591,3598,true,false
3608,3617,true,false
3627,3635,true,false
3642,3648,true,false
3658,3668,true,false
3675,3684,true,false
3691,3700,true,false
3708,3718,true,false
3726,3735,true,false
3742,3751,true,false
3758,3768,true,false
3775,3784,true,false
3792,3801,true,false
3809,3818,true,false
3826,3834,true,false
3842,3849,true,false
3858,3867,true,false
3875,3883,true,false
3891,3899,true,false
3908,3916,true,false
3925,3934,true,false
3942,3951,true,false
3958,3966,true,false
3975,3985,true,false
3992,4001,true,false
4008,4017,true,false
4025,4034,true,false
4042,4050,true,false
4058,4066,true,false
4075,4084,true,false
4092,4100,true,false
4108,4116,true,false
4125,4134,true,false
4142,4152,true,false
4159,4167,true,false
4175,4185,true,false
4192,4200,true,false
4208,4218,true,false
4225,4233,true,false
4242,4251,true,false
4258,4266,true,false
4275,4284,true,false
4291,4300,true,false
4308,4317,true,false
4325,4333,true,false
4342,4351,true,false
4358,4368,true,false
4375,4383,true,false
4392,4402,true,false
4408,4417,true,false
4425,4434,true,false
4442,4450,true,false
4458,4465,true,false
4474,4478,true,false
4491,4495,true,false
4508,4516,true,false
4522,4527,true,false
4542,4550,false,false
4559,4564,false,false
4592,4599,false,false
4609,4615,false,false
4625,4632,false,false
4642,4648,false,false
4659,4662,false,false
4675,4682,false,false
4692,4698,false,false
4708,4714,false,false
4725,4727,false,false
4741,4743,false,false
4759,4762,false,false
4776,4778,false,false
4792,4794,false,false
4809,4812,false,false
4825,4828,false,false
4842,4844,false,false
4859,4862,false,false
4875,4878,false,true
4892,4895,false,true
4908,4911,false,true
4925,4927,false,true
4941,4944,false,true
4959,4963,false,true
4975,4978,false,true
4992,4995,false,true
5009,5011,false,true
5025,5028,false,true
5042,5045,false,true
5059,5063,false,true
5075,5078,false,true
5092,5095,false,true
5108,5111,false,true
5125,5127,false,true
5142,5145,false,true
5159,5162,false,true
5175,5178,false,true
