time_ms,lane,kind,y,score
3694,3,TAP,0.4812500,1.0000
3724,3,TAP,0.4995192,1.0000
3741,3,TAP,0.5086538,1.0000
3758,3,TAP,0.5182692,1.0000
3779,3,TAP,0.5269287,1.0000
3809,3,TAP,0.5461602,1.0000
3826,3,TAP,0.5552941,1.0000
3858,3,TAP,0.5745318,1.0000
3875,3,TAP,0.5846083,1.0000
3893,3,TAP,0.5947115,1.0000
3925,3,TAP,0.6144231,1.0000
3941,3,TAP,0.6245288,1.0000
3959,3,TAP,0.6346031,1.0000
3976,3,TAP,0.6447115,1.0000
4009,3,TAP,0.6658654,1.0000
4041,1,TAP,0.4764423,1.0000
4041,3,TAP,0.6870246,1.0000
4058,1,TAP,0.4850962,1.0000
4058,3,TAP,0.6980697,1.0000
4074,1,TAP,0.4942209,1.0000
4074,3,TAP,0.7091346,1.0000
4092,1,TAP,0.5033654,1.0000
4092,3,TAP,0.7197115,1.0000
4109,1,TAP,0.5124871,1.0000
4109,3,TAP,0.7307834,1.0000
4141,1,TAP,0.5403791,1.0000
4157,1,TAP,0.5500055,1.0000
4174,1,TAP,0.5596280,1.0000
4191,1,TAP,0.5692308,1.0000
4208,1,TAP,0.5788516,1.0000
4224,1,TAP,0.5884733,1.0000
4240,1,TAP,0.5985715,1.0000
4257,1,TAP,0.6086632,1.0000
4274,1,TAP,0.6182692,1.0000
4290,1,TAP,0.6283776,1.0000
4307,1,TAP,0.6389559,1.0000
4324,1,TAP,0.6495314,1.0000
4340,1,TAP,0.6596264,1.0000
4358,1,TAP,0.6706731,1.0000
4374,1,TAP,0.6812594,1.0000
4391,1,TAP,0.6918388,1.0000
4391,3,TAP,0.4798077,1.0000
4410,1,TAP,0.7024171,1.0000
4410,3,TAP,0.4889423,1.0000
4426,1,TAP,0.7134657,1.0000
4426,3,TAP,0.4980769,1.0000
4457,3,TAP,0.5163462,1.0000
4474,3,TAP,0.5259712,1.0000
4491,3,TAP,0.5346273,1.0000
4508,3,TAP,0.5442268,1.0000
4524,3,TAP,0.5538462,1.0000
4541,3,TAP,0.5634490,1.0000
4557,3,TAP,0.5730864,1.0000
4574,3,TAP,0.5831605,1.0000
4591,3,TAP,0.5927885,1.0000
4608,3,TAP,0.6023997,1.0000
4624,3,TAP,0.6129904,1.0000
4640,3,TAP,0.6225962,1.0000
4657,3,TAP,0.6331609,1.0000
4674,3,TAP,0.6432692,1.0000
4691,3,TAP,0.6533614,1.0000
4707,3,TAP,0.6639517,1.0000
4725,3,TAP,0.6745072,1.0000
4745,1,TAP,0.4749942,1.0000
4745,3,TAP,0.6850962,1.0000
4774,1,TAP,0.4927772,1.0000
4774,3,TAP,0.7067308,1.0000
4790,1,TAP,0.5019231,1.0000
4790,3,TAP,0.7177885,1.0000
4825,1,TAP,0.5201923,1.0000
4841,1,TAP,0.5298077,1.0000
4857,1,TAP,0.5384671,1.0000
4874,1,TAP,0.5480888,1.0000
4891,1,TAP,0.5576963,1.0000
4907,1,TAP,0.5673077,1.0000
4925,1,TAP,0.5769348,1.0000
4941,1,TAP,0.5870276,1.0000
4957,1,TAP,0.5971247,1.0000
4974,1,TAP,0.6067214,1.0000
4990,1,TAP,0.6168269,1.0000
5007,1,TAP,0.6269353,1.0000
5024,1,TAP,0.6370220,1.0000
5041,1,TAP,0.6476016,1.0000
5057,1,TAP,0.6581677,1.0000
5074,1,TAP,0.6687500,1.0000
5091,1,TAP,0.6788570,1.0000
5107,1,TAP,0.6899171,1.0000
5125,1,TAP,0.7004927,1.0000
5141,1,TAP,0.7115509,1.0000
5157,1,TAP,0.7221101,1.0000
5591,2,TAP,0.4802885,1.0000
5607,2,TAP,0.4894231,1.0000
5624,2,TAP,0.4980769,1.0000
5641,2,TAP,0.5076923,1.0000
5657,2,TAP,0.5163462,1.0000
