frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
8609,8608,8615,1,3,UP,8657,false
8776,8775,8781,2,2,TAP,8826,false
8943,8942,8948,3,1,TAP,8996,false
9108,9107,9118,4,3,TAP,9161,false
9125,9124,9135,4,3,TAP,9163,true
9292,9291,9301,5,2,UP,9330,false
9458,9457,9467,6,3,TAP,9501,false
9625,9624,9634,7,1,DOWN,9668,false
9792,9791,9801,8,2,TAP,9837,false
9958,9957,9968,9,3,UP,10003,false
10125,10124,10135,10,2,TAP,10173,false
10142,10141,10151,10,2,TAP,10175,true
10292,10291,10301,11,1,TAP,10344,false
10475,10474,10484,12,3,TAP,10512,false
10625,10624,10633,13,2,UP,10678,false
10808,10807,10817,14,3,TAP,10850,false
10975,10974,10984,15,1,DOWN,11016,false
11142,11141,11152,16,2,TAP,11187,false
11308,11307,11319,17,3,UP,11352,false
11475,11474,11484,18,2,TAP,11524,false
11659,11658,11669,19,3,LEFT,11692,false
11808,11807,11818,20,2,TAP,11860,false
11976,11975,11986,21,1,DOWN,12027,false
12159,12158,12167,22,2,TAP,12198,false
12325,12324,12334,23,3,UP,12363,false
12492,12491,12501,24,2,TAP,12535,false
12658,12657,12667,25,3,UP,12700,false
12825,12824,12834,26,2,TAP,12872,false
12992,12991,13001,27,3,LEFT,13038,false
13158,13157,13168,28,2,TAP,13207,false
13325,13324,13333,29,1,DOWN,13374,false
13491,13490,13500,30,2,TAP,13544,false
13659,13658,13668,31,3,UP,13713,false
13842,13841,13851,32,2,TAP,13883,false
14009,14008,14017,33,3,UP,14050,false
14175,14174,14184,34,2,TAP,14220,false
14342,14341,14346,35,1,TAP,14389,false
14508,14507,14512,36,3,TAP,14556,false
14675,14674,14683,37,2,UP,14723,false
14859,14858,14869,38,3,TAP,14896,false
15009,15008,15019,39,1,DOWN,15061,false
15192,15191,15201,40,2,TAP,15231,false
15359,15358,15368,41,3,UP,15398,false
15525,15524,15535,42,2,TAP,15568,false
15692,15691,15702,43,1,TAP,15737,false
15858,15857,15866,44,3,TAP,15906,false
16025,16024,16034,45,2,UP,16071,false
16192,16191,16201,46,3,TAP,16243,false
16358,16357,16368,47,1,DOWN,16409,false
16541,16540,16551,48,2,TAP,16579,false
16692,16691,16702,49,3,UP,16746,false
16875,16874,16883,50,2,TAP,16917,false
17042,17042,17046,51,3,LEFT,17085,false
17209,17208,17214,52,2,TAP,17254,false
17376,17375,17381,53,1,DOWN,17420,false
17541,17540,17551,54,2,TAP,17589,false
17709,17708,17719,55,3,UP,17757,false
