time_ms,gameplay,notes,processing_ms,hud_visible
0,false,0,26.836,false
16,false,0,0.039,false
32,false,0,0.054,false
50,false,0,0.041,false
67,false,0,0.034,false
91,false,0,0.701,false
107,false,0,0.468,false
124,false,0,0.027,false
140,false,0,0.042,false
157,false,0,0.036,false
174,false,0,0.054,false
199,false,0,0.056,false
232,false,0,0.032,false
249,false,0,0.041,false
274,false,0,0.034,false
332,false,0,0.042,false
348,false,0,0.039,false
365,false,0,0.047,false
382,false,0,0.043,false
450,false,0,0.032,false
466,false,0,0.038,false
483,false,0,0.069,false
582,false,0,0.038,false
632,false,0,0.043,false
649,false,0,0.062,false
666,false,0,0.043,false
682,false,0,0.041,false
733,false,0,0.079,false
749,false,0,0.045,false
782,false,0,0.046,false
817,false,0,0.037,false
849,false,0,0.040,false
883,false,0,0.034,false
900,false,0,0.059,false
916,false,0,0.034,false
967,false,0,0.043,false
1000,false,0,0.034,false
1034,false,0,0.047,false
1066,false,0,0.045,false
1100,false,0,0.040,false
1132,false,0,0.045,false
1166,false,0,0.045,false
1200,false,0,0.545,false
1233,false,0,0.036,false
1266,false,0,0.030,false
1299,false,0,0.037,false
1333,false,0,0.028,false
1366,false,0,0.046,false
1399,false,0,0.046,false
1432,false,0,0.041,false
1465,false,0,0.040,false
1499,false,0,0.047,false
1532,false,0,0.036,false
1582,false,0,0.036,false
1607,false,0,0.042,false
1633,false,0,0.046,false
1649,false,0,0.042,false
1666,false,0,0.076,false
1683,false,0,0.603,false
1699,false,0,0.167,false
1716,false,0,0.066,false
1732,false,0,0.735,false
1749,false,0,0.091,false
1766,false,0,0.071,false
1782,false,0,0.587,false
1799,false,0,0.046,false
1817,false,0,0.133,false
1833,false,0,0.053,false
1849,false,0,0.049,false
1866,false,0,0.047,false
1882,false,0,0.051,false
1900,false,0,0.055,false
1916,false,0,0.055,false
1933,false,0,0.056,false
1949,false,0,0.053,false
1966,false,0,0.055,false
1983,false,0,0.050,false
1999,false,0,0.051,false
2016,false,0,0.052,false
2033,false,0,0.046,false
2049,false,0,0.087,false
2066,false,0,0.058,false
2082,false,0,0.036,false
2099,false,0,0.034,false
2115,false,0,0.061,false
2133,false,0,0.035,false
2149,false,0,0.035,false
2165,false,0,0.046,false
2182,false,0,0.090,false
2199,false,0,0.059,false
2216,false,0,0.053,false
2233,false,0,0.043,false
2249,false,0,0.045,false
2266,false,0,0.044,false
2283,false,0,0.046,false
2299,false,0,0.044,false
2315,false,0,0.052,false
2333,false,0,0.085,false
2349,false,0,0.044,false
2365,false,0,0.046,false
2382,false,0,0.060,false
2399,false,0,0.051,false
2416,false,0,0.063,false
2433,false,0,0.058,false
2450,false,0,0.044,false
2482,false,0,0.061,false
2499,false,0,0.062,false
2516,false,0,0.259,false
2532,false,0,0.046,false
2549,false,0,0.055,false
2566,false,0,0.041,false
2582,false,0,0.062,false
2599,false,0,0.053,false
2616,false,0,0.097,false
2632,false,0,0.064,false
2649,false,0,0.075,false
2666,false,0,0.143,false
2682,false,0,0.100,false
2699,false,0,0.079,false
2716,false,0,0.058,false
2732,false,0,0.098,false
2749,false,0,0.041,false
2766,false,0,0.093,false
2782,false,0,0.243,false
2799,false,0,0.109,false
2815,false,0,0.053,false
2832,false,0,0.816,false
2850,false,0,0.084,false
2866,false,0,0.040,false
2884,false,0,0.045,false
2915,false,0,0.033,false
2932,false,0,0.039,false
2949,false,0,0.034,false
2967,false,0,0.035,false
2983,false,0,0.043,false
2999,false,0,0.037,false
3016,false,0,0.042,false
3033,false,0,0.063,false
3049,false,0,0.060,false
3066,false,0,0.050,false
3083,false,0,0.061,false
3099,false,0,0.049,false
3116,false,0,0.045,false
3132,false,0,0.063,false
3149,false,0,0.048,false
3166,false,0,0.047,false
3183,false,0,0.048,false
3216,false,0,0.059,false
3232,false,0,0.069,false
3249,false,0,0.055,false
3266,false,0,0.054,false
3283,false,0,0.064,false
3299,false,0,0.056,false
3316,false,0,0.054,false
3332,false,0,0.063,false
3349,false,0,0.046,false
3365,false,0,0.071,false
3382,false,0,0.196,false
3399,false,0,0.254,false
3415,false,0,0.626,false
3433,false,0,0.193,false
3449,false,0,0.227,false
3466,false,0,0.251,false
3482,false,0,0.253,false
3500,false,0,0.233,false
3516,false,0,0.274,false
3532,false,0,0.268,false
3549,false,0,0.193,false
3566,false,0,0.278,false
3582,false,0,0.194,false
3600,false,0,0.243,false
3616,false,0,0.548,false
3632,false,0,0.076,false
3649,false,0,19.615,false
3665,false,0,18.312,false
3683,false,0,21.911,false
3699,false,0,22.762,false
3715,false,0,5.422,false
3732,false,0,16.300,false
3749,false,0,19.039,false
3766,false,0,18.848,false
3783,false,0,25.086,false
3799,false,0,20.572,false
3815,false,0,15.763,false
3833,false,0,19.536,false
3849,false,0,10.989,false
3866,false,0,1.608,false
3883,false,0,3.112,false
3899,false,0,48.425,false
3915,false,0,39.126,false
3932,false,0,4.676,false
3949,false,0,6.655,false
3966,false,0,4.346,false
3983,false,0,4.010,false
4000,false,0,6.191,false
4017,false,0,4.559,false
4034,false,0,5.387,false
4050,false,0,5.072,false
4066,false,0,4.534,false
4083,false,0,4.673,false
4100,false,0,4.434,false
4116,false,0,5.268,false
4132,false,0,2.798,false
4149,false,0,2.231,false
4167,false,0,2.354,false
4200,false,0,3.930,false
4216,false,0,5.942,false
4232,false,0,4.846,false
4250,false,0,4.545,false
4282,false,0,5.701,false
4299,false,0,4.485,false
