time_ms,gameplay,notes,processing_ms
0,false,0,44.633
4,false,0,0.122
20,false,0,0.056
36,false,0,0.029
53,false,0,0.035
69,false,0,0.029
86,false,0,0.021
102,false,0,0.031
119,false,0,0.026
136,false,0,0.033
152,false,0,0.086
170,false,0,0.050
186,false,0,0.028
203,false,0,0.025
220,false,0,0.033
236,false,0,0.034
253,false,0,0.029
270,false,0,0.039
286,false,0,0.026
302,false,0,0.039
320,false,0,0.033
336,false,0,0.059
353,false,0,0.030
370,false,0,0.029
386,false,0,0.027
403,false,0,0.026
420,false,0,0.026
436,false,0,0.026
453,false,0,0.027
470,false,0,0.046
486,false,0,0.029
502,false,0,0.032
519,false,0,0.032
537,false,0,0.032
554,false,0,0.038
570,false,0,0.036
586,false,0,0.029
603,false,0,0.038
620,false,0,0.033
637,false,0,0.060
653,false,0,0.029
670,false,0,0.026
686,false,0,0.031
703,false,0,0.033
720,false,0,0.042
737,false,0,0.024
754,false,0,0.038
770,false,0,0.077
786,false,0,0.033
803,false,0,0.030
820,false,0,0.032
836,false,0,0.024
852,false,0,0.021
869,false,0,0.025
888,false,0,0.057
895,false,0,0.100
903,false,0,0.064
912,false,0,0.178
920,false,0,0.034
929,false,0,0.086
937,false,0,0.029
945,false,0,0.054
954,false,0,0.105
962,false,0,0.106
970,false,0,0.040
979,false,0,0.044
986,false,0,0.031
995,false,0,0.027
1003,false,0,0.021
1011,false,0,0.034
1020,false,0,0.031
1029,false,0,0.085
1037,false,0,0.045
1045,false,0,0.046
1054,false,0,0.077
1062,false,0,0.033
1070,false,0,0.038
1079,false,0,0.048
1087,false,0,0.048
1095,false,0,0.036
1103,false,0,0.028
1112,false,0,0.038
1120,false,0,0.066
1128,false,0,0.029
1136,false,0,0.031
1144,false,0,0.032
1153,false,0,0.040
1162,false,0,0.903
1170,false,0,0.043
1179,false,0,0.068
1187,false,0,0.091
1195,false,0,0.035
1203,false,0,0.039
1220,false,0,0.114
1236,false,0,0.064
1253,false,0,0.031
1269,false,0,0.092
1287,false,0,0.036
1303,false,0,0.029
1320,false,0,0.038
1336,false,0,0.056
1352,false,0,0.034
1369,false,0,1.023
1385,false,0,0.050
1402,false,0,0.060
1420,false,0,0.026
1435,false,0,0.032
1453,false,0,0.027
1469,false,0,0.028
1486,false,0,0.025
1503,false,0,0.037
1520,false,0,0.051
1537,false,0,0.067
1553,false,0,0.022
1570,false,0,0.023
1586,false,0,0.021
1603,false,0,0.062
1620,false,0,0.045
1637,false,0,0.050
1653,false,0,0.058
1670,false,0,1.315
1686,false,0,0.040
1703,false,0,0.033
1719,false,0,1.158
1728,false,0,0.041
1736,false,0,0.035
1744,false,0,0.065
1753,false,0,3.071
1761,false,0,0.088
1770,false,0,0.050
1778,false,0,0.050
1787,false,0,0.049
1795,false,0,0.039
1803,false,0,0.509
1811,false,0,0.030
1820,false,0,0.024
1828,false,0,0.096
1837,false,0,0.042
1845,false,0,0.026
1854,false,0,0.055
1862,false,0,0.026
1870,false,0,0.030
1886,false,0,0.035
1903,false,0,0.029
1919,false,0,0.032
1935,false,0,0.029
1952,false,0,0.062
1969,false,0,0.040
1985,false,0,0.050
2002,false,0,0.041
2020,false,0,0.038
2036,false,0,0.025
2053,false,0,0.040
2070,false,0,0.033
2086,false,0,0.024
2103,false,0,0.044
2120,false,0,0.042
2136,false,0,0.044
2186,false,0,0.034
2236,false,0,0.029
2252,false,0,0.029
2286,false,0,0.031
2303,false,0,0.046
2436,false,0,0.044
2452,false,0,0.043
2552,false,0,0.029
2568,false,0,0.028
2720,false,0,0.026
2804,false,0,0.068
2820,false,0,0.028
2836,false,0,0.025
2853,false,0,0.022
2905,false,0,0.022
2920,false,0,0.022
2971,false,0,0.024
2987,false,0,0.028
3004,false,0,0.059
3020,false,0,0.028
3054,false,0,0.026
3087,false,0,0.025
3170,false,0,0.027
3186,false,0,0.025
3203,false,0,0.041
3236,false,0,0.055
3271,false,0,0.086
3302,false,0,0.046
3335,false,0,0.031
3370,false,0,0.038
3404,false,0,0.029
3435,false,0,0.023
3469,false,0,0.023
3502,false,0,0.487
3535,false,0,0.067
3570,false,0,0.025
3619,false,0,0.024
3637,false,0,0.027
3668,false,0,0.024
3721,false,0,0.025
3735,false,0,0.024
3802,false,0,0.035
3819,false,0,0.071
3837,false,0,0.029
3853,false,0,0.021
3870,false,0,0.034
3887,false,0,0.030
3904,false,0,0.039
3920,false,0,0.028
3937,false,0,0.038
3953,false,0,0.076
3972,false,0,0.038
3989,false,0,0.031
4004,false,0,0.022
4020,false,0,0.039
4037,false,0,0.036
4054,false,0,0.043
4070,false,0,0.047
4087,false,0,0.036
4103,false,0,0.028
4122,false,0,0.019
4137,false,0,0.021
4153,false,0,0.020
4170,false,0,0.015
4187,false,0,0.035
4202,false,0,0.042
4219,false,0,0.040
4236,false,0,0.031
4253,false,0,0.026
4269,false,0,0.023
4286,false,0,0.025
4304,false,0,0.027
4320,false,0,0.025
4336,false,0,0.030
4353,false,0,0.029
4369,false,0,0.023
4387,false,0,0.032
4403,false,0,0.029
4419,false,0,0.025
4435,false,0,0.054
4453,false,0,0.362
4468,false,0,0.029
4486,false,0,0.049
4503,false,0,0.020
4519,false,0,0.022
4537,false,0,0.023
4553,false,0,0.020
4571,false,0,0.050
4587,false,0,0.021
4603,false,0,0.022
4620,false,0,0.031
4636,false,0,0.030
4653,false,0,0.048
4670,false,0,0.024
4685,false,0,0.030
4702,false,0,0.110
4718,false,0,0.107
4736,false,0,0.062
4753,false,0,0.040
4771,false,0,0.027
4786,false,0,0.018
4803,false,0,0.045
4819,false,0,0.028
4837,false,0,0.076
4854,false,0,0.049
4869,false,0,0.048
4886,false,0,0.034
4905,false,0,0.027
4920,false,0,0.024
4937,false,0,0.027
4953,false,0,0.027
4971,false,0,0.098
4987,false,0,0.038
5004,false,0,0.040
5019,false,0,0.033
5037,false,0,0.026
5053,false,0,0.020
5070,false,0,0.034
5087,false,0,0.035
5102,false,0,0.027
5120,false,0,0.033
5136,false,0,0.043
5152,false,0,0.027
5170,false,0,0.049
5186,false,0,0.021
